question,cat
How much does the eQ-3 wall thermostat IP cost?,smarthome
Can the eQ-3 IP Wall Thermostat be used with Homematic IP Access Point?,smarthome
What kind of battery does the eQ-3 wall thermostat IP have?,smarthome
How big is the eQ-3 wall thermostat IP?,smarthome
Which IP protection class does the eQ-3 wall thermostat IP have?,smarthome
Which radio is used in the eQ-3 indoor motion detector,smarthome
What is the power supply on eQ-3 outdoor motion detector,smarthome
In what colors is the eQ-3 smoke detector available?,smarthome
Is the eQ-3 water detector battery-powered?,smarthome
In which colors are the Sonos one available?,smarthome
in which colors is the Sono one,smarthome
Is there a radio stick with Quivicon standard,smarthome
What features does Sonos play 1 have?,smarthome
Does the Sonos play one have an LED display?,smarthome
For which operating systems the Sonos App is available,smarthome
Can you mount the Sonos play 1 on the wall?,smarthome
How many tweeters has the Sonos play 2,smarthome
How many bass / midrange have the Sonos,smarthome
How much do the Sonos weigh,smarthome
Is the surface of Sonos play 5 dull or glossy?,smarthome
How compatible are the Sonos play 5 with the old sonos devices,smarthome
Do Sonos products have Ethernet ports?,smarthome
Which SmartHome adapters for Merten are there?,smarthome
Which series can be used to integrate HomeMatic adapters for Jung flush-mounted switches?,smarthome
Which dimensions does the adapter Gira Standard have?,smarthome
For which brand switch is the Gira (System 55) suitable?,smarthome
Which adapters for Düwi / Popp are available,smarthome
Show me SmartHome Adapter for Busch-Jaeger Becker S1 Becker (Arsys) Pulse,smarthome
How much does the Philips hue Bloom (Solo),smarthome
How much watts does the Philips hue Bloom (Solo) consume?,smarthome
What&#39;s in the Philips Hue Bloom Starter Set?,smarthome
Which connector type does the Philips Hue Bridge have?,smarthome
Which energy efficiency class does the Philips Hue Bridge have?,smarthome
What kind of material does Philips Hue White &amp; Color Ambiance E27 LED Lamp have?,smarthome
Are batteries necessary for the Philips Hue E27?,smarthome
How much is the Philips Hue E27 Advantage Set?,smarthome
How many switching cycles does the Philips Hue LED GU 10 solo have?,smarthome
Which batteries are necessary for Philips Hue Go LED lights?,smarthome
What is the length of the Philips Hue GU10 Extension?,smarthome
What is the diameter of the Philips Hue GU10 Extension?,smarthome
Which price has the Philips Hue tap switch,smarthome
What is the weight of the Philips Hue Iris?,smarthome
How much is the Philips Hue Iris Starter Set?,smarthome
How long is the Philips Hue White and Color Ambiance LightStrip Plus,smarthome
Show me Philips Hue LightStrip extensions,smarthome
How big is the Nest Protect smoke and CO detector,smarthome
What dimensions does the indoor module of the Netatmo weather station have?,smarthome
Show with information about the sensors and dimensions of the Netatmo weather station,smarthome
Which Zussatzmodule are there for the Netatmo weather station?,smarthome
Which audio formats are supported by Google Home Mini,smarthome
Show me technical information about the Google Home Mini,smarthome
Which operating systems are supported by the v,smarthome
How much does Hi Magenta cost?,smarthome
How much does the smart speaker of Telekom,smarthome
Show me the dimensions of the Logitech Circle 2 window holder,smarthome
How long is the cable of the Logitech Circle 2 window holder,smarthome
Is there a plug-in adapter for the Logitech Circle 2 plug-in bracket?,smarthome
Does Amazon Echo Dot have Dolby Audio?,smarthome
Does Amazon Echo Dot Black have a Bluetooth audio input?,smarthome
how much does a hue lamp cost,smarthome
Netatmo weather station?,smarthome
What is the part number of Netatmo plug-in?,smarthome
show me alexa and the colors,smarthome
show me a lightstrip plus extension,smarthome
How big is the echo white?,smarthome
Show me the Bitron camera outside,smarthome
What color does the D-Link camera have?,smarthome
How hard is a camera from bitron?,smarthome
Show me all available radio standards for cameras from quivicon,smarthome
which outdoor cameras are available,smarthome
What color are the temperature sensors of eq 3?,smarthome
show me the temperature sensor of dlink,smarthome
show all smoke detectors for a maximum of 120 euro,smarthome
are there CO detectors for less than 100 euros?,smarthome
show me LED lamps,smarthome
Show me dectule devices,smarthome
Show me SmartHome adapter plug; which are compatible with HB2,smarthome
Does the SmartHome motion detector from DECT ULE work with SP S?,smarthome
Which devices support the radio standard DECT ULE?,smarthome
Show me SmartHome sirens.,smarthome
Which SmartHome siren are compatible with Home Base1?,smarthome
How much does the Magenta Smarthome siren cost?,smarthome
Does the Telekom have indoor siren batteries?,smarthome
How much is the Magenta SmartHome device package?,smarthome
Is the SmartHome smoke detector Dect Ule combinable with Home Base 1?,smarthome
How much does Meganta SmartHome Starter Package cost monthly,smarthome
Is the outdoor siren (ZigBee) compatible with Telekom Magenta SmartHome?,smarthome
CombiCard Smart Connect S,tariffs
Family Card Special Allnet (PK),tariffs
CombiCard Complete Mobil L,tariffs
CombiCard Combi Relax 60,tariffs
T-Online with monthly including more than 1240.08 minutes,tariffs
T-Online with monthly including at least 1115.93 minutes,tariffs
T-Online with monthly including a maximum of 508.85 minutes,tariffs
T-Online with monthly including less than 806.26 minutes,tariffs
T-Online with monthly inclusive minutes of more than 5897.68 minutes,tariffs
T-Online with monthly inclusive minutes under 3475.44 minutes,tariffs
T-Online with monthly inclusive minutes maximum 1930.39 minutes,tariffs
T-Online with MVLZ.,tariffs
T-Online with notice period of more than 8.05 months,tariffs
T-ISDN with notice period of more than 8.73 months,tariffs
T-ISDN with MVLZ of less than 16.72 months,tariffs
T-ISDN with MVLZ of more than 15.45 months,tariffs
T-ISDN with MVLZ of at least 19.31 months,tariffs
T-Net with MVLZ of less than 18.53 months,tariffs
T-Net with MVLZ of more than 17.59 months,tariffs
Magenta home with speed data usage FN of at least 107.9 Mbit,tariffs
Surf Eco with monthly inclusive minutes of more than 2312.78 minutes,tariffs
At home with speed data usage FN of at least 107.9 Mbit,tariffs
Xtra with bandwidth limit maximum 8.25 mb,tariffs
What maximum download speed does the MagentaZuhause L tariff support?,tariffs
What is the cost of setting up a mobile connection once?,tariffs
What is the timing in Magenta Mobile?,tariffs
Is it possible to surf for free in Greece?,tariffs
Which data packages can be booked,tariffs
At what rates can I book the All Inclusive option?,tariffs
When is a contract renewal without terminal surcharge possible?,tariffs
How long does it take to disrupt a home connection?,tariffs
How much is additional LTE for Magenta mobile?,tariffs
Support hybrid tariffs for private customers VoLTE,tariffs
What is the difference between Germany Lan IP Start &amp; Premium?,tariffs
When can I change from magenta home M to L?,tariffs
Which suppression service is standard?,tariffs
How long does it take for a connection to be disconnected?,tariffs
How many Data Comfort Free cards can a customer order?,tariffs
Show me the minimum suppression time for private customers,tariffs
Magenta one conditions,tariffs
What are the connection prices for the Asia option?,tariffs
How much do PK have to pay for calls to country group 3?,tariffs
what does it cost to talk to other EU countries?,tariffs
What is the delivery price for the MagentaMobil S?,tariffs
how expensive is the DayPack,tariffs
How much more does a MagentaMobil tariff including Apple Music cost,tariffs
what is the interference suppression time for PK,tariffs
How much does the StreamOn option cost?,tariffs
Which entertain tariffs are currently being marketed?,tariffs
What are the advantages of a For friends rate?,tariffs
What is MagentaEIN?,tariffs
Are there contracts without a fixed term,tariffs
What does VoLTE cost?,tariffs
Which MagentaMobil tariff has at least 2 GB data volume?,tariffs
What are the requirements for a Happy Plan?,tariffs
How much is the Huawei P8 lite in the MagentaMobil S?,tariffs
How much data volume does the MagentaMobil Business XS tariff have?,tariffs
how expensive is magenta ONE,tariffs
Is there in cell phone in black?,tariffs
Show me all smartphone tariffs with LTE,tariffs
Which tariffs can DoublePlay be combined with?,tariffs
Supports ForFriends 3G and LTE,tariffs
How do I book the Apple Music Try &amp; Buy?,tariffs
Which foreign options do I have to book for a Thailand vacation?,tariffs
What prepaid rates are there,tariffs
what does call &amp; surf allnet cost?,tariffs
In which tariffs can I order a new device once a year?,tariffs
Which packages or options do we offer business customers?,tariffs
are there any GKs for friends options?,tariffs
How long is the MVLZ in a mobile phone contract?,tariffs
How much GB data volume does the Magenta Mobil Premium tariff contain?,tariffs
Which option do I have to book to get all stations in HD?,tariffs
Who can order a call and surf rate?,tariffs
Which options are suitable for KUM and GK?,tariffs
In which Data Comfort tariffs can I subsidize a terminal?,tariffs
What is the difference between MagentaMobil and MagentaMobil Premium?,tariffs
Show rates with free HotSpot flatrate,tariffs
What is the special feature of the happy tariffs,tariffs
How much does the iPhone 6s cost with the Family Card S with mobile?,tariffs
Which tariffs do LTE and VDSL support?,tariffs
What is the cost of roaming charges for calls to India or Sri Lanka,tariffs
What do you pay for discussions after 22 clock,tariffs
What are the differences between the security packages S &amp; L?,tariffs
How much does the Speed Option M cost in the Magenta Home Hybrid S?,tariffs
How expensive is an EU Flat,tariffs
What do you pay for the fiber optic connection with magenta,tariffs
What are the costs of talking to China for GK?,tariffs
What employee benefits are offered by the MagentaMobil contracts,tariffs
When can I cancel my contract,tariffs
What sets the Business XS apart from the XL version?,tariffs
In which MagentaMobil tariffs is the Multi-SIM free?,tariffs
How many CombiCards can I book per contract?,tariffs
In which landline tariffs is the Hotspot Flat included free of charge?,tariffs
In which BusinessFlex tariffs is the option All Inclusive available?,tariffs
What is the difference between Family Card and CombiCard?,tariffs
Which tariffs have no bandwidth limit with 4 GB data consumption?,tariffs
how much is the delivery price for a landline?,tariffs
What is the difference between 1st and 2nd generation MagentaMobil?,tariffs
How long is the notice period of For Friends,tariffs
What advantages does m all-net have,tariffs
How much is the Dayflat unlimited option?,tariffs
Which contracts are particularly suitable for frequent callers,tariffs
What are the differences between the MagentaMobil S &amp; M tariffs?,tariffs
In which tariffs does a Galaxy S7 cost less than 100 euros?,tariffs
What foreign options are available for the Smart Day Pack,tariffs
how is the donwload speed at M On-Net,tariffs
In which mobile contracts the Hotspot-Flat is free,tariffs
What tariffs for families are there?,tariffs
what is the day pack 2,tariffs
How much does it cost to talk to MagentaMobil M in Turkey?,tariffs
Which employee contracts are offered with the option of a top-end device,tariffs
Which is the cheapest mobile phone tariff,tariffs
How many minutes are included in Call &amp; Surf Comfort Allnet?,tariffs
How do I book a family card?,tariffs
How much GB data volume does Magenta Mobile Premium have with the happy variant?,tariffs
Mobile radio which minimum contract term,tariffs
For which groups of countries are the free minutes of the Complete Contracts valid,tariffs
What do phone calls to China and Japan cost?,tariffs
How much is the family card?,tariffs
Which Predpaid tariffs can be used in conjunction with an iPhone,tariffs
Are there cell phones; support the WLAN calls and LTE or VoLTE?,tariffs
What are the costs of talking abroad in the EU?,tariffs
There are current promotions for home rates,tariffs
How much data does Speedon L have?,tariffs
In which tariffs can I add the CombiCard S?,tariffs
How many multi SIMS can I book?,tariffs
what does Magenta One cost,tariffs
How much do I have to pay for calls to Africa?,tariffs
Combi Card Data 1. Generation,tariffs
Are there any restrictions on Preselect?,tariffs
In which TV packages is the station 13th Street,tariffs
Make me an overview of the magenta home rates,tariffs
Is there an EVN for prepaid cards?,tariffs
How long is the notice period?,tariffs
Are there any special offers for teens,tariffs
Who is entitled to MagentaEINS?,tariffs
What&#39;s the difference between the Magenta Mobil L and Magenta Mobil L +,tariffs
How much does Magenta Mobil L cost with PK&#39;s top cell phone?,tariffs
How long do business customers have to wait for the suppression?,tariffs
Which countries does country group 1 cover?,tariffs
How much DSL speed do I need to book Magenta Home Hybrid S with Entertain TV?,tariffs
Can I keep the family card even though I cancel the main contract?,tariffs
What notice periods in MagentaMobil S,tariffs
what tariffs we recommend to students or Buftis,tariffs
Which cloud option is free in the Magenta Home L tariff?,tariffs
Who can get a Friends rate?,tariffs
Can I book a Lenovo with Magenta EINS?,tariffs
How much is the Travel &amp; Surf option?,tariffs
What is the cost of discussions in Country Group 1?,tariffs
How do I unlock Entertain Sky?,tariffs
How do I change to a For Friends rate?,tariffs
Magenta One,tariffs
Which suppression time do I have in the tariff DeutschlandLAN IP Start?,tariffs
From when does the cancellation period apply,tariffs
Magenta Mobile M or L,tariffs
How much is the Samsung Galaxy S7 edge in the Magenta Mobile M?,tariffs
How long is the cancellation period for postpaid contracts?,tariffs
There are current home actions,tariffs
how long is the life of Magenta Mobile business XS,tariffs
What does the Twin Bill option cost?,tariffs
What happens if the high-speed volume is used up?,tariffs
What are the advantages of Preselect?,tariffs
Business Travel Data,tariffs
Which promotions are available for new customers?,tariffs
Which data tariffs support LTE and have at least 10 GB data volume?,tariffs
Magenta M,tariffs
Troubleshooting for fixed network customers,tariffs
What is the difference between the BusinessFlex S tariffs with mobile phone and BusinessFlex M with mobile phone?,tariffs
What does Business XL option cost in the year,tariffs
How much is deducted monthly for Magenta EINS?,tariffs
What is Magenta Mobile,tariffs
How much is a call to the mobile network with the magenta home S?,tariffs
what are the costs of china talks in the tariff magenta eins or combi business xl,tariffs
What does voice over lte cost,tariffs
How much is Magenta Mobil M without a device?,tariffs
How much does Apple Music cost after the first 6 months?,tariffs
When is a contract renewal without a tariff change fee possible?,tariffs
How many CombiCards can a customer receive at most?,tariffs
What does TwinBill Pro cost?,tariffs
Are there contracts without a fixed contract period,tariffs
Is the tom 14 still available?,tariffs
How expensive is a phone call to the Seychelles,tariffs
Can I book a blocked APN with the CombiCard S?,tariffs
Which prepaid products are offered for tablets,tariffs
What does the additional option Fiber 100 cost and what is the minimum contract term?,tariffs
Which mobile tariffs the hotspot is included,tariffs
Which mobile phone tariffs are currently in the marketing?,tariffs
It costs ForFriends,tariffs
What do I pay for a telephone call to group 1?,tariffs
What is the cost of the security package S &amp; L?,tariffs
Which Magenta ONE business benefits are there?,tariffs
Magenta ONE requirement,tariffs
How do I book the FamilyCard Start?,tariffs
With what rates can I use HD Voice?,tariffs
what is the maximum suppression time at magenta one for business customers,tariffs
How much high-speed volume do I have with the MagentaMobil M?,tariffs
When do I have to cancel at the latest?,tariffs
How many Family Cards can I book for MagentaMobil M?,tariffs
When can I extend my contract,tariffs
How long is the minimum contract term for the security package M?,tariffs
Is Italy on the EU flat rate?,tariffs
What is for friends,tariffs
In which magenta home tariffs can I use VDSL?,tariffs
What to pay for providing magenta home,tariffs
How much GB can the customer use in the Data Comfort Free tariff?,tariffs
Which channels are stored in the package BigTV?,tariffs
Show me the cheapest contract,tariffs
what does the DayPass M LG2 cost?,tariffs
How many hours can I make a landline call on the weekend?,tariffs
What is the notice period for mobile tariffs for students and students?,tariffs
How many days is the Dayflat Unlimited option free?,tariffs
What is the additional payment for the Samsung Galaxy A3 (2017) in the Magenta Mobil M tariff,tariffs
"Dear ladies and gentlemen, it is about my landline connection with you. I&#39;m moving soon in Berlin and would like to know what I have to consider. Above all, does my contract, term or commitment change to two years? Thank you very much for your effort. Yours sincerely...",tariffs
What is the purchase price of the Speedport Hybrid?,tariffs
Is there a way to get out of Entertain prematurely?,tariffs
Show me options for frequent callers,tariffs
How expensive are discussions in the country group 2,tariffs
Which Spotify actions are currently available,tariffs
Which Entertain packages are offered,tariffs
How many free minutes are included in Call &amp; Surf?,tariffs
How much does Entertain TV Plus cost?,tariffs
How long is the life of magenta at home?,tariffs
In which tariffs is the Hotspot-Flat option free of charge?,tariffs
How much upload do I get in the maximum tariff Magenta home L?,tariffs
What do calls to asia cost?,tariffs
What is the monthly base price of the MagentaZuhause M tariff?,tariffs
Show me all tariffs for teenagers,tariffs
Which timings are there?,tariffs
How much do I have to pay for a call to Australia?,tariffs
Smart Traveller Paket,tariffs
How many WeekPasses are included in the Complete Premium contracts,tariffs
With which Magenta home tariff can I make free calls to Telekom mobile network?,tariffs
what is magenta 1,tariffs
Can the customer also use Voice over IP or Voice over LTE for Magenta or fixed network?,tariffs
What is the deployment price at Call &amp; Surf?,tariffs
Support landline rates for residential customers WLAN calls,tariffs
Which tariffs can be booked as Friends tariffs,tariffs
How much is the move in the tariff DeutschlandLAN IP Start?,tariffs
Which options have more data volume?,tariffs
Is it possible to set up a request number and minimum 10 e-mail accounts at MaxFlat M fixed network business?,tariffs
What email protocol are accepted by the BlackBerry Push Tariff?,tariffs
Show all t-mobile @home rates with 60/60 or 10/10 clocking,tariffs
How much MB are included in Turkcell Turkey Internet Option 500?,tariffs
How much speed do you need to book hybrid with Entertaintv?,tariffs
What timing does Xtra Handy DayFlat have and what does it cost per day?,tariffs
what does Apple Care cost,tariffs
Show me SMS Flatrate in all German networks,tariffs
Deployment Price of M2M Connect,tariffs
Show the deployment price of M2M Connect,tariffs
How many domains are there at DLAN,tariffs
Will Entertain also be usable on hybrid connections?,tariffs
Is SMS-Flat included with Special Complete Mobile with Handy Comfort?,tariffs
Show me Business Call &amp; Surf Mobile S with mobile,tariffs
Does BusinessBasic Complete Premium rates have a foreign flat rate?,tariffs
Show me Special Business Call &amp; Surf Mobile rates?,tariffs
View Special Business Call &amp; Surf Mobile (2nd Generation),tariffs
Which bandwidth limit does one have with the Business Call S rates?,tariffs
Show Special Business Call 100 rates,tariffs
is SMS Flat with Relax 400 with mobile phone (2nd Gen.) DTAG included,tariffs
show Special Business Complete Mobile with Handy Basic,tariffs
Show me tariffs with landline flat,tariffs
Show me tariffs with festnetzflat,tariffs
Is Festnetzflat part of the Special Business Complete Mobil XL?,tariffs
Show me Is there the BusinessFlex Data M tariffs,tariffs
is there the DeutschlandLAN Cloud PBX Pooling MSN Pure as a fixed network tariff?,tariffs
there is the BusinessCall Plus Mobile as a fixed network tariff,tariffs
There is the BusinessCall Plus 20000 as a fixed network tariff,tariffs
Does BusinessCall Advance (BCA) have an in-house fixed network flatrate?,tariffs
Does BusinessCall 501 have an in-house fixed network flatrate?,tariffs
Show me tariffs with Fremdnetz Flat,tariffs
Included with SK Complete Mobil XL with mobile journalists fremdnetz-flat,tariffs
Is included in the tariff Complete Mobile XL with mobile DTAG the foreign network flat,tariffs
Show me BusinessFlex Premium rates with my high speed volume,tariffs
Show me tariffs me highspeed volume,tariffs
Does one have hotspot-flat with the tariff Business Mobil XL Premium?,tariffs
Is there hotspot-flat on Business Mobil L Happy,tariffs
How many minutes are included in the BusinessRelax 500 fare,tariffs
How many sms incl. Are included in the Complete 120 Business with Handy Tarif,tariffs
How many sms incl are included in Complete Mobil XL Friends tariff,tariffs
Show tariffs with incl. Volume per day,tariffs
How much volume per day is included in the tariff BusinessProfi eco,tariffs
How much incl. Volume per day is included in the DeutschlandLAN Mobile Data Backup,tariffs
How much incl. Volume per day is included in the Prepaid DayFlat XXL,tariffs
Show tariffs with international flat rate?,tariffs
Is there a foreign flat rate for the BusinessBasic Complete Premium system connection?,tariffs
Show me MagentaMobil Start tariffs with start credit,tariffs
What tariffs can you get with credit card?,tariffs
Are there fares with weekend flat? Partially correct results,tariffs
Show me rates with weekpass,tariffs
Show tariffs with Wahlnetzflat,tariffs
Is a Wahlnetzflat in the Special Call &amp; Surf Mobile (2nd generation) tariff possible?,tariffs
show rates with volume discount,tariffs
Is there a volume discount on the BusinessCall Advance tariff?,tariffs
Is there a Flat Telephony on the Special Complete Mobile with Handy Comfort Tariffs?,tariffs
show tariffs to telephone in all German networks?,tariffs
Is it possible to make calls with the MagentaMobil XL DTAG to all German networks?,tariffs
Show me fare options for BusinessProfi Smart Traveler Plus,tariffs
which streaming services are supported by streamOn,tariffs
Show me BusinessPublic rates with sms flat in all networks,tariffs
Show me TwinBill Pro,tariffs
Show me Call 50 Business,tariffs
Show me Combi Flat M (mobile network) Business,tariffs
Show me Combi Relax 1200 Business,tariffs
Show me CombiCard L Business,tariffs
Show me CombiCard Car 10 Business,tariffs
Combi Card Data Comfort S Business (FN) (GK),tariffs
Show me CombiCard Komplet comfort XS Business,tariffs
Show me Combi Card Data Comfort L Business Premium (MF) (GK),tariffs
Show me KombiCard konnect L with complete advantages,tariffs
show Complete 1200 Business with mobile,tariffs
Complete M (mobile) business with mobile phone,tariffs
Complete XL Business (1. Generation) (GK),tariffs
Allnet Flat Business,tariffs
Complete Comfort M Business,tariffs
Complete Comfort M Business O365,tariffs
DeutschlandLAN Mobile Data Backup,tariffs
Data Comfort L Business eco (GK),tariffs
M2M Flex 24/36,tariffs
web'n'walk Connect Advance XL Eco,tariffs
web&#39;n&#39;walk Connect L advantage fixed network (RV),tariffs
web'n'walk Plus Try&Buy (RV),tariffs
MagentaEINS Business Workplace Basic,tariffs
MagentaMobil L Plus Business Happy,tariffs
Max Business VDA with mobile phone,tariffs
Max Flat M (mobile network) Business,tariffs
Data Comfort M Business Eco,tariffs
Relax 1000 XL Business,tariffs
Basix with mobile phone (2nd generation),tariffs
Call &amp; Surf Mobile XS with mobile phone,tariffs
Call &amp; Surf Mobile M Friends (landline) with mobile,tariffs
Call 50,tariffs
Call L Friends,tariffs
Combi Flat M Friends,tariffs
Combi Relax 1200,tariffs
Complete Basic M Friends,tariffs
Complete Comfort XS Flex,tariffs
Complete Comfort M Friends mit Handy Plus,tariffs
Complete Mobil XL,tariffs
Special Complete Mobil mit Handy Basic,tariffs
Complete (EU-Flat Plus) Premium,tariffs
Complete 1200 with mobile phone,tariffs
congstar Allnet Flat Plus,tariffs
congstar surf package,tariffs
congstar prepaid as I want,tariffs
congstar Smart M,tariffs
congstar Surf Flat 3000,tariffs
congstar starter pack for tablet,tariffs
Home Quick Start (Postpaid),tariffs
CarConnectivity 10,tariffs
Telly Data,tariffs
Mobile Data XL eco,tariffs
Mobile Data XL Premium,tariffs
DataConnect Exklusive,tariffs
web&#39;n&#39;walk Connect L advantage landline,tariffs
